ENTRY_PLATE,total_stays,centric_stays,duration,morn_stays,aft_stays,night_stays,stays_labo,stays_sat,stays_sun,recency,discount
01442436767a3444dccbfcaaf9eb02ac1e6fb111,2,2,0.7156944444444444,2,0,0,2,0,0,54,0.0
01447ae927aa6bb26cd4ecc09300d644abfd5a6a,4,4,0.7809027777777777,0,4,0,4,0,0,50,0.0
01458164d54f0b73c3d1aa1805882a63bf1e87d5,1,1,1.2516666666666667,0,0,1,0,1,0,42,0.0
0146666bdaa6ac964e28ee64ad1fbdbf24fa0cbd,2,2,1.0313888888888891,0,2,0,2,0,0,53,0.0
0147e0a337fc9ac3daf33bb2c1c616cda01b92c6,3,2,0.767962962962963,3,0,0,3,0,0,46,0.0
0148ffdd4cf767457fe1e7d3817a584958ca12de,1,1,18.39444444444445,0,1,0,1,0,0,51,0.0
0149009253ee91d2ec47635acaedccac7b304e17,1,1,2.6261111111111117,0,1,0,1,0,0,50,200.0
0149769c6fcff8914cf636d5518339144229781e,10,3,71.10243055555556,5,4,1,10,0,0,50,0.0
014a40cb7a58bb2fd8c583552b08c57831af0e5a,1,0,0.8175,0,1,0,1,0,0,45,0.0
014c516648fea88e9fc0c43c8829d739b3ccfd01,2,1,1.6461111111111106,0,1,1,1,1,0,48,25.0
014cd65ce5a2c5baac6fd8b1231e01e6e9dc1144,1,1,0.3336111111111111,0,1,0,0,1,0,42,0.0
014cdcf8de2131e01519fc4b6ba42bfa4c19ed6f,2,2,0.8595833333333334,2,0,0,2,0,0,43,0.0
014d31c510277b3fa233ca1e6c2d69bae58decd6,1,1,0.2472222222222222,0,1,0,1,0,0,66,0.0
014d627a030f5f4c0fdca4463585db82d3088725,1,1,0.06,1,0,0,1,0,0,67,0.0
014d6d2efb2eb9542029fea232c858f1c696dbea,1,1,0.5627777777777778,0,1,0,0,1,0,49,90.0
014daad78f4e4cd49d7ab5948f5a3961a8cc0ef1,1,1,2.3794444444444443,0,1,0,0,1,0,49,200.0
014f7a70ea37a4b64a6ae495273732491c1dd557,1,1,1.7952777777777778,1,0,0,1,0,0,67,200.0
0150ee6bcc4419899dc1ec3095a6c7c61cd6b894,2,2,2.450277777777778,2,0,0,2,0,0,44,0.0
015522534fa8c3d0baed366151c84660987bb8ab,1,1,0.6661111111111111,0,1,0,1,0,0,59,0.0
0157d3ccbaa8afe7330f63752cffcccc76483013,19,16,3.7873976608187134,3,14,2,16,3,0,42,0.0
01585230c673c1252333404e37e4f22b0644c808,1,0,16.720277777777778,0,1,0,0,1,0,49,0.0
015a76b00908286a83537772ca423e655af5a4a2,16,1,5.341579861111111,15,1,0,16,0,0,45,0.0
015c71e10e34c6eb863d37f1eb29c63610589d72,2,1,0.6647222222222222,0,2,0,2,0,0,50,0.0
015d5484d759f7786dfefaf41f2146d02a1d8285,2,2,1.5815277777777776,0,2,0,2,0,0,46,0.0
0162622c46c511bd269f3b3959fa2c7618e2a5d6,1,1,1.0927777777777778,0,1,0,0,1,0,49,0.0
016440935f82e73fb0505d5f26d2b280334add08,4,4,1.5741666666666667,2,2,0,3,1,0,40,0.0
0164c222187842bcdfd5c955c3b43860fb5dd7c2,20,0,9.125027777777778,20,0,0,20,0,0,40,0.0
0165a7f5c0b5f5939c670d37f5c03f1b907282fe,1,1,7.560277777777778,0,1,0,1,0,0,54,0.0
